MSOA_name,MSOA_code,Rec_obesity,Rec_overweight,Y6_obesity,Y6_overweight,Sum,"L1, L2 and L3","L4, L5 and L6",L7,L8 and L9,L10 and L11,L12,L13,L14.1 and L14.2,L15,x,y
Salford 012,E02001168,10.81081081,27.02702703,25.67567568,40.54054054,2655,397,637,351,263,159,280,347,192,29,377862.8407,401068.2455
Salford 013,E02001169,4.285714286,14.28571429,12.30769231,26.15384615,2860,873,786,314,358,129,153,158,71,18,372516.9905,400973.3423
Salford 014,E02001170,7.142857143,16.66666667,13.33333333,26.66666667,2480,782,743,249,290,107,114,135,48,12,376031.8071,400920.3072
Salford 015,E02001171,6.451612903,19.35483871,16.21621622,32.43243243,1603,287,439,215,180,97,151,166,55,13,378827.539,400747.998
Salford 016,,14.81481481,27.16049383,28.88888889,44.44444444,0,,,,,,,,,,,
Salford 017,E02001173,16.98113208,32.0754717,26.86567164,46.26865672,2280,145,289,234,196,133,300,458,252,273,381377.7412,400064.4896
Salford 018,E02001174,8.695652174,21.73913043,32.14285714,42.85714286,1515,251,417,202,159,82,135,156,60,53,379663.1357,400141.1248
Salford 019,E02001175,11.62790698,25.58139535,26.2295082,39.3442623,1962,252,411,271,189,132,243,282,150,32,375770.68,399449.5482
Salford 020,E02001176,12.5,18.75,14.75409836,31.14754098,2896,657,787,292,291,134,237,302,161,35,377344.8511,399257.3784
Salford 021,E02001177,12.16216216,28.37837838,31.76470588,44.70588235,3556,458,835,485,309,223,377,549,223,97,379313.4555,399070.3166
Salford 022,,12.5,25,20,37.5,0,,,,,,,,,,,
Salford 023,E02001179,11.62790698,30.23255814,33.33333333,46.66666667,1873,196,365,222,146,117,247,347,115,118,380418.7951,398893.4864
Salford 024,E02001180,11.11111111,25,26.47058824,44.11764706,1317,104,177,134,95,56,177,282,185,107,381283.5002,398950.5978
Salford 025,E02001181,13.33333333,26.66666667,26.41509434,39.62264151,1559,149,250,180,153,90,263,305,136,33,375473.4053,398211.4614
Salford 026,E02001182,12,28,24.48979592,38.7755102,1976,197,333,293,180,136,291,352,160,34,376966.4033,398165.598
